R4,4,400,0,500,0,500,100,400,100
R5,4,400,100,500,100,500,250,400,200
R6,4,300,150,400,100,400,200,250,250
R7,4,100,100,300,150,250,250,150,250
R12,4,400,200,500,250,500,350,400,350
R1,4,0,0,150,0,100,100,0,100
R2,4,150,0,250,0,300,150,100,100
R3,4,250,0,400,0,400,100,300,150
R11,4,250,250,400,200,400,350,300,350
R8,4,0,100,100,100,150,250,0,250
R9,4,0,250,150,250,150,400,0,350
R10,4,150,250,250,250,300,350,150,400
R15,4,150,400,300,350,300,500,150,500
R14,4,300,350,400,350,400,500,300,500
R16,4,0,350,150,400,150,500,0,500
R13,4,400,350,500,350,500,500,400,500
